singleSetId,weight,reps,distance,duration,elevationGain,setNumber,exerciseSetParseId,exerciseName,workoutId,workoutDate,fake_user_id
LpnvurLuxE,5.0802405856791655,10.0,0.0,0.0,0.0,1,qLWUiUvbBa,Cable Russian Twists,FZSU1H90qb,2019-02-14,fake_id_286
tMdAVwIHC6,52.16318458509857,12.0,0.0,0.0,0.0,2,lJcZuZlrHK,Hammerstrength Chest Press,lT5vGZdOaL,2019-04-01,fake_id_295
pAHexfKp7G,35.0,8.0,0.0,0.0,0.0,4,B1oPciW5Cz,Machine Preacher Curl,YYOvlQEd7F,2017-11-28,fake_id_285
VP4z8eIdDb,18.14371637742559,12.0,0.0,0.0,0.0,2,91QwL9gCV2,Reverse Barbell Curl,dPyEFMTDNC,2018-02-02,fake_id_280
k2gJeOWVo2,0.0,5.0,0.0,0.0,0.0,3,hJBpwGjxz6,Chin Up,jJsei8SbeB,2019-02-14,fake_id_287
iqknsQ2nD0,17.5,15.0,0.0,0.0,0.0,1,nnGYboEvsQ,Push Press,SMip5IBUnN,2018-02-07,fake_id_291
hYOt9aUDUa,31.75150366049478,10.0,0.0,0.0,0.0,2,LkhAw7CrJu,Assisted Chin Up,kpAnjjkPjG,2019-06-12,fake_id_284
aoXNojUBiJ,0.0,10.0,0.0,0.0,0.0,3,547ALj2rIl,Step Up,yk5y53Gsuh,2019-05-20,fake_id_286
NWYsjHXDaU,0.0,22.0,0.0,0.0,0.0,2,uZhW8Lljez,Mountain Climber,f1V6T61MdY,2019-07-19,fake_id_284
YwKmB550gl,20.41168092460379,5.0,0.0,0.0,0.0,2,TJYzPB0Bfv,Barbell Decline Bench Press,bb1B0nABeg,2019-05-27,fake_id_285
YRXXBjnUb6,15.87575183024739,10.0,0.0,0.0,0.0,2,QsJbuHq4kH,Standing Leg Curl,vcnJaFWaKD,2019-04-06,fake_id_290
KhqMDGcuIp,2.2679645471781993,8.0,0.0,0.0,0.0,2,bXW9zUSfW5,Iron Cross,ngjl5hC4rh,2018-10-25,fake_id_292
AKhyY6FGQo,0.0,10.0,0.0,0.0,0.0,1,aU1sRQoUCs,Bosu Ball Squat,vdkD3kyHGZ,2019-02-19,fake_id_284
qry0dTiJVQ,47.627255490742165,8.0,0.0,0.0,0.0,3,6yNWmuQM7g,Seated Barbell Shoulder Press,G99BrHxpqv,2018-11-15,fake_id_283
0o29DJht4R,30.0,8.0,0.0,0.0,0.0,3,ziTcGY91Rp,Dumbbell Curl,eor1hs0RGE,2017-11-03,fake_id_280
VoC23nLuK8,0.0,18.0,0.0,0.0,0.0,1,JXYB5mptkv,Reverse Crunch,XRucvks2AK,2019-05-23,fake_id_288
vaFRLapAei,0.0,0.0,0.0,15.0,0.0,1,11OgTnjHNc,Up Dog,AWWs8iDhZC,2019-09-08,fake_id_294
qf5lHqMlFX,0.0,0.0,321.8688,266.0,0.0,1,GSA72CfMD4,Elliptical,kysEfZszcF,2019-03-14,fake_id_296
6eCzwd2suu,45.35929094356398,8.0,0.0,0.0,0.0,3,RgDPCjCiRv,Assisted Pull Up,GXeHda0SQU,2019-06-06,fake_id_284
Ew0Y1AzGND,0.0,8.0,0.0,0.0,0.0,2,rcPVHaRBBv,Floor Bridge,vy2sopFSEX,2018-01-26,fake_id_285
0ei0zn6h4x,0.0,6.0,0.0,0.0,0.0,1,9Etmty9Hr3,Single Leg Kickback,htiHhAhdOo,2018-09-11,fake_id_297
mEVLu44Afs,11.339822735890994,6.0,0.0,0.0,0.0,2,HslUaPnXLQ,Concentration Curl,EGdJFDXBAR,2019-03-11,fake_id_296
K2RnXu9IZm,9.071858188712797,15.0,0.0,0.0,0.0,4,I65A50jrpN,Medicine Ball Slam,yCgCrpepAX,2019-06-14,fake_id_296
X5ZAw7hIKc,0.0,9.0,0.0,0.0,0.0,1,G4CBdnRXBm,Sit Up,4jiRwEDKzn,2019-04-16,fake_id_289
fhRhdQnHri,0.0,9.0,0.0,0.0,0.0,3,Torm5MzlGT,Exercise Ball Push Up,vMa14ybc42,2019-01-29,fake_id_292
BhKzBSkP5d,15.87575183024739,10.0,0.0,0.0,0.0,2,8UABZ33JLw,Seated Machine Calf Press,zTxOTZOFRa,2019-07-21,fake_id_290
VDKbD7AFye,30.0,12.0,0.0,0.0,0.0,1,qYp30vK1ZX,Smith Machine Behind the Back Shrug,LGSxkCpvYT,2017-12-31,fake_id_291
uBTDukyATh,34.01946820767298,10.0,0.0,0.0,0.0,2,dAAQ8tJUwA,Smith Machine Squat,TlCaUgDghx,2019-02-28,fake_id_286
def3CdEHNi,18.14371637742559,10.0,0.0,0.0,0.0,3,bp7gJ4twhG,Machine Preacher Curl,gQlqvHirKC,2019-03-08,fake_id_286
vw6rX7ofGt,4.535929094356399,15.0,0.0,0.0,0.0,2,V2UGhjzDYn,Front Plate Raise,qHxKU0EeE8,2019-04-23,fake_id_286
FlHiIwFRyz,25.0,12.0,0.0,0.0,0.0,1,sHCAnefOv0,Barbell Shrug,uYBGM1RsOE,2019-03-20,fake_id_291
OEEBfffV10,0.0,0.0,3411.8092800000004,1440.0,0.0,1,z7k2B9ePMW,Running - Treadmill,gbWNxaPBaa,2019-04-17,fake_id_292
uZhhaZOBaY,0.0,20.0,0.0,0.0,0.0,1,36T3TFexa9,Oblique Crunch,mv1z8037B1,2019-09-03,fake_id_286
sBx3XxEXsE,6.8038936415345965,5.0,0.0,0.0,0.0,3,3HWavoHTpJ,Single Arm Dumbbell Tricep Extension,HXVJPTdM97,2019-05-30,fake_id_290
